model,domain,position,n_trials,mean_rci_true,mean_rci_cold,var_rci_true,var_rci_cold,delta_rci,var_ratio,vri
Mistral Small 24B,philosophy,1,10,0.9736576,0.9355791,0.00018919686,0.0010786178,0.038078487,0.17540677,0.8245932310819626
Mistral Small 24B,philosophy,2,10,0.945943,0.91926175,0.00030863963,0.00010530233,0.026681244,2.9309857,-1.930985689163208
Mistral Small 24B,philosophy,3,10,0.9269676,0.89540225,0.00013814276,0.0002678529,0.03156537,0.5157411,0.48425889015197754
Mistral Small 24B,philosophy,4,10,0.91231745,0.88717955,0.00024606998,0.000833324,0.025137901,0.29528728,0.7047127187252045
Mistral Small 24B,philosophy,5,10,0.8427941,0.85164946,0.001423852,0.0013847896,-0.008855343,1.0282083,-0.028208255767822266
Mistral Small 24B,philosophy,6,10,0.82742053,0.78863895,0.0019009962,0.00080572115,0.038781583,2.3593724,-1.3593723773956299
Mistral Small 24B,philosophy,7,10,0.7916582,0.768334,0.001603561,0.00087163225,0.023324251,1.8397219,-0.8397219181060791
Mistral Small 24B,philosophy,8,10,0.8464502,0.85747993,0.00048310828,0.00028494425,-0.01102972,1.6954484,-0.6954483985900879
Mistral Small 24B,philosophy,9,10,0.80565405,0.6105755,0.0002121615,0.0036790748,0.19507855,0.05766708,0.9423329196870327
Mistral Small 24B,philosophy,10,10,0.8984763,0.774207,0.00018839327,0.00010280539,0.12426931,1.8325233,-0.8325233459472656
Mistral Small 24B,philosophy,11,10,0.8526414,0.78423065,0.0004405239,0.0012548822,0.068410754,0.35104802,0.6489519774913788
Mistral Small 24B,philosophy,12,10,0.8594821,0.8855196,0.00045097966,0.00036168654,-0.026037514,1.2468798,-0.24687981605529785
Mistral Small 24B,philosophy,13,10,0.8459565,0.7364519,0.000937925,0.00067397323,0.10950458,1.3916354,-0.3916354179382324
Mistral Small 24B,philosophy,14,10,0.8391533,0.8629466,0.0004177421,0.0007234382,-0.02379334,0.5774399,0.42256009578704834
Mistral Small 24B,philosophy,15,10,0.82609594,0.93267995,0.00040625798,0.00013900727,-0.10658401,2.9225664,-1.9225664138793945
Mistral Small 24B,philosophy,16,10,0.84987336,0.8620821,0.00080190407,0.0003601053,-0.01220876,2.2268598,-1.2268598079681396
Mistral Small 24B,philosophy,17,10,0.81772023,0.7938673,0.00034969448,0.001158304,0.023852944,0.30190215,0.6980978548526764
Mistral Small 24B,philosophy,18,10,0.79340017,0.8365326,0.0048373593,0.00059006264,-0.043132424,8.198044,-7.1980438232421875
Mistral Small 24B,philosophy,19,10,0.817348,0.8343431,0.000592037,0.0007339294,-0.016995072,0.8066675,0.1933324933052063
Mistral Small 24B,philosophy,20,10,0.82346153,0.8374729,0.00052443845,0.0006637239,-0.014011383,0.79014546,0.20985454320907593
Mistral Small 24B,philosophy,21,10,0.8627211,0.89419174,0.002248405,0.00061336916,-0.031470656,3.6656635,-2.665663480758667
Mistral Small 24B,philosophy,22,10,0.7959032,0.8797445,0.0015244916,0.00037959253,-0.083841324,4.0161266,-3.0161266326904297
Mistral Small 24B,philosophy,23,10,0.84640706,0.86198044,0.0015147731,0.0009374279,-0.015573382,1.6158823,-0.6158822774887085
Mistral Small 24B,philosophy,24,10,0.8409978,0.88703805,0.004338427,0.00013922137,-0.046040237,31.162075,-30.16207504272461
Mistral Small 24B,philosophy,25,10,0.8195081,0.86700785,0.0012490003,0.0004661243,-0.047499776,2.6795435,-1.6795434951782227
Mistral Small 24B,philosophy,26,10,0.78143424,0.7209632,0.00044433947,0.0008150908,0.060471058,0.5451411,0.4548588991165161
Mistral Small 24B,philosophy,27,10,0.8656794,0.87957746,0.0012325756,0.0004216396,-0.013898075,2.923292,-1.9232919216156006
Mistral Small 24B,philosophy,28,10,0.7730086,0.72270536,0.0014167139,0.0012947023,0.05030322,1.0942391,-0.09423911571502686
Mistral Small 24B,philosophy,29,10,0.8810086,0.8451441,0.00096205965,0.0006352592,0.035864532,1.5144364,-0.5144363641738892
Mistral Small 24B,philosophy,30,10,0.80790746,0.8015912,0.000445725,0.00081776775,0.0063162446,0.5450508,0.45494920015335083
Qwen3 235B,philosophy,1,35,0.99515885,0.9940553,6.098408e-06,4.4590277e-07,0.00110358,13.676542,-12.676542282104492
Qwen3 235B,philosophy,2,35,0.9544886,0.89215297,0.00014586117,0.00017067969,0.06233561,0.85459006,0.1454099416732788
Qwen3 235B,philosophy,3,35,0.9379762,0.9307251,0.000185827,0.0001922148,0.007251084,0.96676743,0.03323256969451904
Qwen3 235B,philosophy,4,35,0.9074494,0.92811966,0.00019935842,0.00021418385,-0.020670235,0.9307817,0.06921827793121338
Qwen3 235B,philosophy,5,35,0.8968747,0.7775196,0.0004443825,0.017013803,0.11935514,0.02611894,0.973881060257554
Qwen3 235B,philosophy,6,35,0.9107707,0.83964175,0.00011778623,0.0019843937,0.071128964,0.05935628,0.9406437203288078
Qwen3 235B,philosophy,7,35,0.8590746,0.85595244,0.0002893937,0.00041774707,0.003122151,0.6927486,0.3072513937950134
Qwen3 235B,philosophy,8,35,0.82703984,0.90303135,0.0003944218,0.00016086614,-0.07599151,2.4518635,-1.4518635272979736
Qwen3 235B,philosophy,9,35,0.79430676,0.8106431,0.0004675516,0.0010805799,-0.016336322,0.43268582,0.5673141777515411
Qwen3 235B,philosophy,10,35,0.88066983,0.8763062,0.00034249036,0.00028955378,0.004363656,1.1828213,-0.18282127380371094
Qwen3 235B,philosophy,11,35,0.8477724,0.7662573,0.0004297618,0.0028722722,0.08151513,0.14962433,0.8503756672143936
Qwen3 235B,philosophy,12,35,0.8671665,0.9032365,0.00027985973,0.00017260265,-0.03606999,1.6214104,-0.6214103698730469
Qwen3 235B,philosophy,13,35,0.8227864,0.8809869,0.00055660587,0.0007956178,-0.05820054,0.6995895,0.30041050910949707
Qwen3 235B,philosophy,14,35,0.7937434,0.8745264,0.00067236344,0.00031369098,-0.08078301,2.1433942,-1.1433942317962646
Qwen3 235B,philosophy,15,35,0.83255,0.89197797,0.0005899193,0.0005164486,-0.059427977,1.1422614,-0.14226138591766357
Qwen3 235B,philosophy,16,35,0.85454875,0.91485965,0.00073364127,0.00016423446,-0.0603109,4.4670362,-3.467036247253418
Qwen3 235B,philosophy,17,35,0.8122101,0.75878245,0.00070748664,0.0019831809,0.053427637,0.35674337,0.6432566344738007
Qwen3 235B,philosophy,18,35,0.8381272,0.84099036,0.00025860994,0.0004819939,-0.0028631687,0.53654194,0.4634580612182617
Qwen3 235B,philosophy,19,35,0.8250541,0.6711597,0.0006713193,0.00075778307,0.15389442,0.88589907,0.11410093307495117
Qwen3 235B,philosophy,20,35,0.8243833,0.9208215,0.00055247376,9.276662e-05,-0.09643817,5.9555235,-4.955523490905762
Qwen3 235B,philosophy,21,35,0.77626663,0.83274794,0.0003810427,0.0011499106,-0.0564813,0.33136722,0.6686327755451202
Qwen3 235B,philosophy,22,35,0.82469064,0.88613874,0.0005625423,0.00029544326,-0.061448097,1.904062,-0.904062032699585
Qwen3 235B,philosophy,23,35,0.8155211,0.8666898,0.00038414958,0.0003104885,-0.05116868,1.2372425,-0.2372424602508545
Qwen3 235B,philosophy,24,35,0.7555378,0.9263545,0.0011121049,0.00018357675,-0.17081672,6.0579834,-5.0579833984375
Qwen3 235B,philosophy,25,35,0.7992236,0.8982392,0.000609332,0.00011796234,-0.09901559,5.1654787,-4.165478706359863
Qwen3 235B,philosophy,26,35,0.78601134,0.7730951,0.00055629236,0.006284397,0.012916267,0.08851961,0.9114803895354271
Qwen3 235B,philosophy,27,35,0.8716921,0.907456,0.0002995993,0.000418115,-0.03576386,0.7165476,0.2834523916244507
Qwen3 235B,philosophy,28,35,0.7603598,0.83001226,0.0008103887,0.00070048444,-0.06965244,1.1568975,-0.15689754486083984
Qwen3 235B,philosophy,29,35,0.82251996,0.8704054,0.00034801965,0.00032627644,-0.047885418,1.0666405,-0.06664049625396729
Qwen3 235B,philosophy,30,35,0.7910805,0.82132214,0.0006227667,0.00070255407,-0.030241668,0.88643235,0.11356765031814575
